county_fips,dc_records,dc_count,dc_sqft,dc_mean_lat,dc_mean_lon,dc_types
51683,3,1,287961.0,38.74045639520903,-77.50398458226456,building
53007,9,3,2168973.0,47.35845186545387,-120.15987096088442,building
53017,37,13,10582248.0,47.40509457226687,-120.2069038576526,"building, campus"
53025,111,39,57876646.0,47.24335201335325,-119.8488258552128,"building, campus"
53033,45,15,2915658.0,47.55634565912481,-122.31432087150758,building
53053,8,3,4325825.0,47.15977655751484,-122.27957182323142,"building, campus"
53061,12,4,395319.0,47.87191332380323,-122.26674125593401,"building, point"
53063,9,3,161757.0,47.64025403161243,-117.3510279191511,building
53067,3,1,27417.0,46.941425913781416,-122.6250436933969,campus
53073,3,1,12936.0,48.75726791220513,-122.48055204535832,building
54065,3,1,0.0,39.6309851,-78.2253196,point
55015,3,1,180540.0,44.204445689988255,-88.34486607926551,building
55021,3,1,1083.0,43.63833305625328,-89.72140289190826,building
55025,6,2,27528.0,43.06750306788186,-89.41450231990315,"building, point"
55027,3,1,54784473.0,43.510653174322336,-88.81580327393497,campus
55033,3,1,10104.0,44.877154880009265,-91.91999866130789,building
55077,3,1,24771.0,43.78219344887065,-89.57480059463062,building
55079,9,3,78297.0,42.97216119927814,-87.96430188923195,"building, point"
55101,3,1,27282.0,42.67566907758482,-87.91840524832496,building
55127,3,1,27003.0,42.83365494686052,-88.73397883656988,building
55133,3,1,141894.0,43.05138456879599,-88.21660153580787,building
56005,3,1,17925.0,44.18923686146642,-105.61048020390791,building
56021,52,18,56291627.0,41.125683893204425,-104.84912371757811,"building, campus"
72061,3,1,0.0,18.41743590000001,-66.10898950000002,point
72127,3,1,69411.0,18.446826978793577,-66.05168721823439,building
